AÑO,MES,CONCESION,ENTIDAD PRESTADORA,TIPO DE VEHICULO,UNIDAD DE MEDIDA,TOTAL,,,,,,
2020,3,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,NÚMERO DE EJES COBRABLES,1283918,,,,,,
2020,4,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,NÚMERO DE VEHÍCULOS,77483,,,,,,
2020,4,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,NÚMERO DE VEHÍCULOS,156637,,,,,,
2020,4,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,NÚMERO DE EJES COBRABLES,154966,,,,,,
2020,4,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,NÚMERO DE EJES COBRABLES,700431,,,,,,
2020,5,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,NÚMERO DE VEHÍCULOS,175579,,,,,,
2020,5,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,NÚMERO DE VEHÍCULOS,232432,,,,,,
2020,5,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,NÚMERO DE EJES COBRABLES,351158,,,,,,
2020,5,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,NÚMERO DE EJES COBRABLES,1037279,,,,,,
2020,6,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,NÚMERO DE VEHÍCULOS,266112,,,,,,
2020,6,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,NÚMERO DE VEHÍCULOS,291981,,,,,,
2020,6,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,NÚMERO DE EJES COBRABLES,532224,,,,,,
2020,6,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,NÚMERO DE EJES COBRABLES,1322393,,,,,,
2020,7,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,NÚMERO DE VEHÍCULOS,375715,,,,,,
2020,7,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,NÚMERO DE VEHÍCULOS,352657,,,,,,
2020,7,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,NÚMERO DE EJES COBRABLES,751430,,,,,,
2020,7,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,NÚMERO DE EJES COBRABLES,1572623,,,,,,
2020,8,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,NÚMERO DE VEHÍCULOS,346006,,,,,,
2020,8,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,NÚMERO DE VEHÍCULOS,384544,,,,,,
2020,8,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,NÚMERO DE EJES COBRABLES,692012,,,,,,
2020,8,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,NÚMERO DE EJES COBRABLES,1691033,,,,,,
2020,9,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,NÚMERO DE VEHÍCULOS,355890,,,,,,
2020,9,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,NÚMERO DE VEHÍCULOS,384618,,,,,,
2020,9,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,NÚMERO DE EJES COBRABLES,711780,,,,,,
2020,9,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,NÚMERO DE EJES COBRABLES,1665665,,,,,,
2020,10,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,NÚMERO DE VEHÍCULOS,407609,,,,,,
2020,10,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,NÚMERO DE VEHÍCULOS,439585,,,,,,
2020,10,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,NÚMERO DE EJES COBRABLES,815218,,,,,,
2020,10,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,NÚMERO DE EJES COBRABLES,1859597,,,,,,
2020,11,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,NÚMERO DE VEHÍCULOS,392148,,,,,,
2020,11,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,NÚMERO DE VEHÍCULOS,438368,,,,,,
2020,11,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,NÚMERO DE EJES COBRABLES,784296,,,,,,
2020,11,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,NÚMERO DE EJES COBRABLES,1844718,,,,,,
2020,12,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,NÚMERO DE VEHÍCULOS,414232,,,,,,
2020,12,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,NÚMERO DE VEHÍCULOS,406253,,,,,,
2020,12,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,NÚMERO DE EJES COBRABLES,828464,,,,,,
2020,12,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,NÚMERO DE EJES COBRABLES,1726559,,,,,,
2021,1,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,NÚMERO DE VEHÍCULOS,458606,,,,,,
2021,1,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,NÚMERO DE VEHÍCULOS,453915,,,,,,
2021,1,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,NÚMERO DE EJES COBRABLES,917212,,,,,,
2021,1,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,NÚMERO DE EJES COBRABLES,1954835,,,,,,
2021,2,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,NÚMERO DE VEHÍCULOS,328288,,,,,,
2021,2,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,NÚMERO DE VEHÍCULOS,351784,,,,,,
2021,2,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,NÚMERO DE EJES COBRABLES,656576,,,,,,
2021,2,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,NÚMERO DE EJES COBRABLES,1577955,,,,,,
2021,3,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,NÚMERO DE VEHÍCULOS,443012,,,,,,
2021,3,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,NÚMERO DE VEHÍCULOS,389945,,,,,,
2021,3,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,NÚMERO DE EJES COBRABLES,886024,,,,,,
2021,3,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,NÚMERO DE EJES COBRABLES,1664779,,,,,,
